disease_OMIM_ID	disease_name
1	$Deafness, Y-linke$
10	46XY sex reversa
100100	Prune belly syndrome
100300	Adams-Oliver syndrome 1
100800	Achondroplasia
101000	$Neurofibromatosis, type 2$
101200	Apert syndrome
101400	Saethre-Chotzen syndrome
101600	Craniofacial-skeletal-dermatologic dysplasia
101800	$Acrodysostosis 1, with or without hormone resistance$
101900	Acrokeratosis verruciformis
102200	$Acromegaly, somatic$
102370	Acromicric dysplasia
102500	Hajdu-Cheney syndrome
102530	Spermatogenic failure 6
102578	$Leukemia, acute promyelocytic, somatic$
102700	$Adenosine deaminase deficiency, partial$
102900	$Adenosine triphosphate, elevated, of erythrocytes$
103050	Adenylosuccinase deficiency
103285	ADULT syndrome
103470	$Waardenburg syndrome/albinism, digenic$
103500	Tietz albinism-deafness syndrome
103580	Pseudohypoparathyroidism Ia
103780	$Alcohol dependence, susceptibility to$
103900	$Aldosteronism, glucocorticoid-remediable$
104100	Palmoplantar keratoderma with congenital alopecia
104200	$Alport syndrome, autosomal dominant$
104290	Alternating hemiplegia of childhood
104300	$Alzheimer disease 1, familial$
104310	Alzheimer disease-2
104500	$Amelogenesis imperfecta, type IB$
104510	$Amelogenesis imperfecta, type IV$
104530	$Amelogenesis imperfecta, type IA$
105120	$Amyloidosis, Finnish type$
105150	Cerebral amyloid angiopathy
105200	$Amyloidosis, familial visceral$
105210	$Amyloidosis, hereditary, transthyretin-related$
105250	$Amyloidosis, primary localized cutaneous, 1$
105400	$Amyotrophic lateral sclerosis, susceptibility to$
105500	$Amyotrophic lateral sclerosis-parkinsonism/dementia complex, susceptibility to$
105550	Frontotemporal dementia and/or amyotrophic lateral sclerosis 1
105650	Diamond-Blackfan anemia 1
105830	Angelman syndrome
106100	$Angioedema, hereditary, types I and II$
106190	$Anhidrosis, isolated, with normal sweat glands$
106210	Cataract with late-onset corneal dystrophy
106260	Hay-Wells syndrome
106300	$Spondyloarthropathy, susceptibility to, 1$
106600	$Tooth agenesis, selective, 1, with or without orofacial cleft$
107250	$Anterior segment dysgenesis 1, multiple subtypes$
107480	Townes-Brocks branchiootorenal-like syndrome
107600	$Aplasia cutis congenita, nonsyndromic$
107970	Arrhythmogenic right ventricular dysplasia 1
108010	$Intracranial hemorrhage in brain cerebrovascular malformations, susceptibility to$
108120	$Arthrogryposis multiplex congenita, distal, type 1$
108145	$Arthrogryposis, distal, type 5$
108300	$Stickler syndrome, type I$
108500	$Episodic ataxia, type 2$
108600	$Spastic ataxia 1, autosomal dominant$
108720	$Atelosteogenesis, type I$
108721	$Atelosteogenesis, type III$
108770	$Atrial standstill, digenic (GJA5/SCN5A)$
108900	$Atrial septal defect 7, with or without AV conduction defects$
108985	Sveinsson chorioretinal atrophy
109150	Machado-Joseph disease
109400	Basal cell nevus syndrome
109730	Aortic valve disease 1
109800	$Bladder cancer, somatic$
11	$Mental retardation, autosomal recessive$
110100	$Blepharophimosis, epicanthus inversus, and ptosis, type 2$
110450	$[Blood group, Colton]$
110500	$[Blood group, Diego]$
110700	$[Blood group, Duffy system]$
110800	Adult i phenotype without cataract
110900	$[Blood group, Kell]$
111000	$[Blood group, Kidd]$
111150	Blood group--Lutheran inhibitor
111200	$[Blood group, Auberger system]$
111250	$[Blood group, Landsteiner-Wiener]$
111380	$[Blood group, OK]$
111400	NOR polyagglutination syndrome
111600	$[Blood group, Langereis system]$
111620	$[Blood group, Radin]$
111690	$[Blood group, Rhesus]$
111750	$[Blood group, Scianna system]$
112010	$[Blood group, Waldner]$
112050	$[Blood group, Wright]$
112100	$[Blood group, Yt system]$
112240	Cole-Carpenter syndrome 1
112250	Diaphyseal medullary stenosis with malignant fibrous histiocytoma
112310	Boomerang dysplasia
112410	Hypertension and brachydactyly syndrome
112500	$Brachydactyly, type A1$
112600	$Brachydactyly, type A2$
113000	$Brachydactyly, type B1$
113100	$Brachydactyly, type C$
113200	$Brachydactyly, type D$
113300	$Brachydactyly, type E$
113500	Brachyolmia type 3
113620	Branchiooculofacial syndrome
113650	$Branchiootorenal syndrome 1, with or without cataracts$
113750	$Albinism, oculocutaneous, type VI$
113800	Epidermolytic hyperkeratosis
113900	$Heart block, nonprogressive$
113970	Burkitt lymphoma
114000	Caffey disease
114290	Campomelic dysplasia
114300	$Arthrogryposis, distal, type 3$
114480	$Breast cancer, susceptibility to$
114500	$Colorectal cancer, somatic$
