gene_symbol	disease_OMIM_ID
1C7	609148
2E4	615637
3H11AG	610188
3H11AG	610189
3H11AG	611134
3H11AG	611755
3H11AG	615991
3M1	273750
3M2	612921
3M3	614205
3MC1	257920
3MC2	265050
3PK	617111
8D6	613646
8D6A	613646
A15	300210
A1ST	301830
A20	616744
A2M 	104300
A2M 	614036
A2MD	104300
A2MD	614036
A2MR	604093
A2MRAP	615431
A4GALT	111400
AA1	1
AA2	2
AAA	1
AAA	104300
AAA	231550
AAA	605714
AAA1	1
AAA2	2
AAA4	4
AAAS	231550
AAC2	243400
AAF132	612199
AAF44	617341
AAGAB	148600
AAMR	615510
AARS	613287
AARS	616339
AARS2	614096
AARS2	615889
AAS	305400
AASS	238700
AASS	268700
AAT	606963
AAT	613490
AAT1	1
AAT10	617168
AAT11	610256
AAT11	612968
AAT11	617349
AAT2	2
AAT3	133239
AAT3	610168
AAT3	614331
AAT4	132900
AAT5	132800
AAT5	609192
AAT6	611788
AAT6	613834
AAT6	614042
AAT7	613780
AAT8	615436
AAT9	616166
ABAT	613163
ABC1	143890
ABC1	205400
ABC1	604091
ABC3	610921
ABC34	177850
ABC34	264800
ABC34	614473
ABC7	301310
ABCA1	143890
ABCA1	205400
ABCA1	604091
ABCA12	242500
ABCA12	601277
ABCA3	610921
ABCA4	153800
ABCA4	248200
ABCA4	601718
ABCA4	604116
ABCA7	608907
ABCB1	120080
ABCB1	612244
ABCB11	601847
ABCB11	605479
ABCB2	604571
ABCB3	604571
ABCB4	600803
ABCB4	602347
ABCB4	614972
ABCB6	111600
ABCB6	609153
ABCB6	614497
ABCB6	615402
ABCB7	301310
ABCC11	117800
ABCC2	237500
ABCC6	177850
ABCC6	264800
ABCC6	614473
ABCC7	167800
ABCC7	211400
ABCC7	219700
ABCC7	277180
ABCC8	125853
ABCC8	240800
ABCC8	256450
ABCC8	606176
ABCC8	610374
ABCC9	239850
ABCC9	608569
ABCC9	614050
ABCD1	300100
ABCD3	616278
ABCD4	614857
ABCDS	277580
ABCDS	600155
ABCDS	600501
ABCG2	138900
ABCG2	614490
ABCG5	210250
ABCG8	210250
ABCG8	611465
ABCP	138900
ABCP	614490
ABCR	153800
ABCR	248200
ABCR	601718
ABCR	604116
ABCX	608907
ABERS	302905
ABERS	303400
ABHD12	612674
ABHD5	275630
ABHS	234050
ABO	616093
ABPA	26
ABPA	609524
ABPA	614065
ABPA	617047
ABPL	26
ABPL	609524
ABPL	614065
ABPL	617047
ABRI	117300
ABRI	176500
ABRI	616079
ABS	616871
AC	159950
AC	228000
AC133	603786
AC133	608051
AC133	612095
AC133	612657
ACAC	613933
ACACA	613933
ACACAD	613933
ACAD8	611283
ACAD9	611126
ACADM	201450
ACADS	201470
ACADSB	610006
ACADVL	201475
ACAM	615237
ACAN	165800
ACAN	608361
ACAN	612813
ACAT1	203750
ACAT2	614055
ACATN	612539
ACATN	614482
ACC	107600
ACC1	613933
ACCPN	218000
ACD	616553
ACDMPV	265380
ACDP2	613882
ACDP2	616418
ACDP4	217080
ACE	267430
ACE	612624
ACE	614519
ACE1	267430
ACE1	612624
ACE1	614519
ACG1A	200600
ACH	100800
ACH	109800
ACH	114500
ACH	146000
ACH	149730
ACH	162900
ACH	187600
ACH	187601
ACH	273300
ACH	602849
ACH	603956
ACH	610474
ACH	612247
ACH	616482
ACHE	112100
ACHM1	248200
ACHM1	262300
ACHM2	216900
ACHM3	248200
ACHM3	262300
ACHM4	613856
ACHM6	610024
ACHM7	616517
ACHP	135750
ACHP	174500
ACHP	186200
ACHP	188740
ACHP	200500
ACHRB	616313
ACHRB	616314
ACHRD	253290
ACHRD	601462
ACHRD	608930
ACHRD	616321
ACHRD	616322
ACHRD	616323
ACHRG	253290
ACHRG	265000
ACKR1	110700
ACKR1	611162
ACKR1	611862
ACLS	200990
ACLS	607131
ACLS	614120
ACLSD	615961
ACMICD	102370
ACMICD	129600
ACMICD	154700
ACMICD	184900
ACMICD	604308
ACMICD	608328
ACMICD	614185
ACMICD	616914
ACO2	614559
ACO2	616289
ACOX	264470
ACOX1	264470
ACOX2	617308
ACP2	200950
ACP33	248900
ACP5	607944
ACPHD	616192
ACPT	617297
ACRDYS1	101800
ACRDYS1	160980
ACRDYS1	255960
ACRDYS1	610489
ACRDYS2	606799
ACRDYS2	614613
ACS3	101400
ACS3	123100
ACS3	180750
ACS4	300387
ACSF3	614265
ACSL4	300387
ACSTD1	613217
ACSTD1	613244
ACT1	614070
ACT1	615527
ACT35	615593
ACTA1	161800
ACTA1	255310
ACTA1	616852
ACTA2	611788
ACTA2	613834
ACTA2	614042
ACTA3	155310
ACTB	243310
ACTB	607371
ACTC1	612098
ACTC1	612794
ACTC1	613424
ACTFS	614401
ACTG1	604717
ACTG1	614583
ACTG2	155310
ACTN1	615193
ACTN2	612158
ACTN4	603278
ACTRIIB	613751
ACTSA	611788
ACTSA	613834
ACTSA	614042
ACVR1	135100
ACVR2B	613751
ACVRL1	600376
ACVRLK1	600376
ACVRLK2	135100
ACVRLK3	174900
ACVRLK3	610069
ACY1	609924
ACY1D	609924
AD1	104300
AD1	605714
AD17	17
AD18	615537
AD18	615590
AD2	104310
AD2	269600
AD2	603075
AD2	611771
AD2	617347
AD3	172700
AD3	600274
AD3	607822
AD3	613694
AD3	613737
AD4	606889
AD4	613697
AD4BP	612964
AD4BP	612965
AD4BP	613957
AD6	6
AD8	8
AD9	608907
ADA	102700
ADAM10	615537
ADAM10	615590
ADAM17	614328
ADAM9	612775
ADAMTS10	277600
ADAMTS13	274150
ADAMTS17	613195
ADAMTS18	615458
ADAMTS2	225410
ADAMTSL2	231050
ADAMTSL4	225100
ADAMTSL4	225200
ADAR	127400
ADAR	615010
ADAT3	615286
ADCAD1	608320
ADCAD2	610947
ADCAD2	616724
ADCADN	604121
ADCADN	614116
ADCK3	612016
ADCK4	615573
ADCL2	219100
ADCL2	608895
ADCL2	614434
ADCL3	219150
ADCL3	601162
ADCL3	616586
ADCL3	616603
ADCY1	610154
ADCY10	143870
ADCY5	606703
ADCY6	616287
ADD1	145500
ADD3	617008
ADDH	607694
ADDL	617008
ADERM	129200
ADERM	136000
ADGRE2	125630
ADGRG1	606854
ADGRG1	615752
ADGRG2	300985
ADGRG6	616503
ADGRV1	604352
