disease_OMIM_ID	disease_name	gene_symbol
1	$Deafness, Y-linke$	AA1
1	$Deafness, Y-linke$	AAA
1	$Deafness, Y-linke$	AAA1
1	$Deafness, Y-linke$	AAT1
1	$Deafness, Y-linke$	AFA1
1	$Deafness, Y-linke$	AIS
1	$Deafness, Y-linke$	ANIB1
1	$Deafness, Y-linke$	AOMS1
1	$Deafness, Y-linke$	APMR1
1	$Deafness, Y-linke$	ASD1
1	$Deafness, Y-linke$	ATFB1
1	$Deafness, Y-linke$	ATR1
1	$Deafness, Y-linke$	BAFME1
1	$Deafness, Y-linke$	BFIC1
1	$Deafness, Y-linke$	BFIS1
1	$Deafness, Y-linke$	C15DUPq
1	$Deafness, Y-linke$	CACD1
1	$Deafness, Y-linke$	CAMPD1
1	$Deafness, Y-linke$	CRAC1
1	$Deafness, Y-linke$	CRCS4
1	$Deafness, Y-linke$	CYDELq11
1	$Deafness, Y-linke$	DDH1
1	$Deafness, Y-linke$	DELYq11
1	$Deafness, Y-linke$	DFNY1
1	$Deafness, Y-linke$	DIH1
1	$Deafness, Y-linke$	DUH
1	$Deafness, Y-linke$	DUH1
1	$Deafness, Y-linke$	DUP15q
1	$Deafness, Y-linke$	DUPC1
1	$Deafness, Y-linke$	DURS1
1	$Deafness, Y-linke$	DUS
1	$Deafness, Y-linke$	ECA1
1	$Deafness, Y-linke$	ENUR1
1	$Deafness, Y-linke$	FAA1
1	$Deafness, Y-linke$	FAME1
1	$Deafness, Y-linke$	FEB1
1	$Deafness, Y-linke$	FHL1
1	$Deafness, Y-linke$	FPH1
1	$Deafness, Y-linke$	FRTS
1	$Deafness, Y-linke$	FRTS1
1	$Deafness, Y-linke$	FSHD1
1	$Deafness, Y-linke$	FSHD1A
1	$Deafness, Y-linke$	GFND1
1	$Deafness, Y-linke$	HBHR
1	$Deafness, Y-linke$	HCD
1	$Deafness, Y-linke$	HCFP1
1	$Deafness, Y-linke$	HLH1
1	$Deafness, Y-linke$	HMPS1
1	$Deafness, Y-linke$	HPE1
1	$Deafness, Y-linke$	HPLH1
1	$Deafness, Y-linke$	HPP
1	$Deafness, Y-linke$	HWE1
1	$Deafness, Y-linke$	IHPS
1	$Deafness, Y-linke$	IHPS1
1	$Deafness, Y-linke$	IS1
1	$Deafness, Y-linke$	KYPSC1
1	$Deafness, Y-linke$	MBS2
1	$Deafness, Y-linke$	MCOP1
1	$Deafness, Y-linke$	MCOPCB1
1	$Deafness, Y-linke$	MCOPCT1
1	$Deafness, Y-linke$	MEBA
1	$Deafness, Y-linke$	MMVP1
1	$Deafness, Y-linke$	MPB
1	$Deafness, Y-linke$	MUH
1	$Deafness, Y-linke$	MUSTQTL1
1	$Deafness, Y-linke$	MVP
1	$Deafness, Y-linke$	OTS
1	$Deafness, Y-linke$	OTSC1
1	$Deafness, Y-linke$	PAND1
1	$Deafness, Y-linke$	PAOD1
1	$Deafness, Y-linke$	PAURT1
1	$Deafness, Y-linke$	PBC1
1	$Deafness, Y-linke$	PCO
1	$Deafness, Y-linke$	PCO1
